Change Component Comment : Designator=C1 Old Comment=approved sub OK New Comment=100nF
Change Component Comment : Designator=C2 Old Comment=approved sub OK New Comment=100nF
Change Component Comment : Designator=C3 Old Comment=approved sub OK New Comment=100nF
Change Component Comment : Designator=C5 Old Comment=approved sub OK New Comment=100nF
Change Component Comment : Designator=C6 Old Comment=approved sub OK New Comment=100nF
Change Component Comment : Designator=C4 Old Comment=approved sub OK New Comment=100pF
Change Component Comment : Designator=Q1 Old Comment=NPN_MMBT3904 New Comment=Value
Change Component Comment : Designator=Q2 Old Comment=NPN_MMBT3904 New Comment=Value
Change Component Comment : Designator=R10 Old Comment=Thick Film New Comment=1K
Change Component Comment : Designator=R9 Old Comment=Thick Film New Comment=10K
Change Component Comment : Designator=R11 Old Comment=Thick Film New Comment=10R
Change Component Comment : Designator=R2 Old Comment=Thick Film New Comment=12K
Change Component Comment : Designator=R4 Old Comment=Thick Film New Comment=22R
Change Component Comment : Designator=R6 Old Comment=Thick Film New Comment=22R
Change Component Comment : Designator=R1 Old Comment=Thick Film New Comment=47R
Change Component Comment : Designator=R3 Old Comment=Thick Film New Comment=100R
Change Component Comment : Designator=R5 Old Comment=Thick Film New Comment=100R
Change Component Comment : Designator=R8 Old Comment=Thick Film New Comment=470R
